FullSampleName,germplasmName,OrigKeyFile,OriginOfSample
F95C1bP002:CA7RRANXX:3:499753,NA,NA,NA
F152C1bP005:CA7RRANXX:5:499956,NA,NA,NA
F116C1bP003:CA7RRANXX:3:499838,NA,NA,NA
F99C1bP001:CA7RRANXX:3:499788,NA,NA,NA
F162C1bP007:CABJYANXX:7:505514,NA,NA,NA
F100C1bP001:CA7RRANXX:3:499789,NA,NA,NA
F116C1bP001:CA7RRANXX:3:499836,NA,NA,NA
F165C1bP011:CABJYANXX:7:505548,NA,NA,NA
F168C1bP001:CABJYANXX:7:505566,NA,NA,NA
F159C1bP006:CABJYANXX:6:505482,NA,NA,NA
F153C1bP053:CA7RRANXX:5:500027,NA,NA,NA
F161C1bP001:CABJYANXX:6:505502,NA,NA,NA
F165C1bP020:CABJYANXX:7:505557,NA,NA,NA
F166C1bP003:CABJYANXX:7:505562,NA,NA,NA
F122C1bP006:CA7RRANXX:4:499889,NA,NA,NA
F94C1bP001:CA7RRANXX:3:499750,NA,NA,NA
F163C1bP008:CABJYANXX:7:505524,NA,NA,NA
F165C1bP015:CABJYANXX:7:505552,NA,NA,NA
F170C1bP019:CA7RRANXX:6:500037,NA,NA,NA
F162C1bP008:CABJYANXX:7:505515,NA,NA,NA
F154C1bP012:CABJYANXX:6:505418,NA,NA,NA
F163C1bP012:CABJYANXX:7:505528,NA,NA,NA
F152C1bP004:CA7RRANXX:5:499955,NA,NA,NA
F152C1bP001:CA7RRANXX:5:499952,NA,NA,NA
F153C1bP014:CA7RRANXX:5:499987,NA,NA,NA
F170C1bP020:CA7RRANXX:6:500038,NA,NA,NA
F116C1bP008:CA7RRANXX:3:499843,NA,NA,NA
F152C1bP017:CA7RRANXX:5:499968,NA,NA,NA
F116C1bP004:CA7RRANXX:3:499839,NA,NA,NA
F163C1bP009:CABJYANXX:7:505525,NA,NA,NA
F137C1bP008:CABJYANXX:5:505254,NA,NA,NA
F144C1bP005:CABJYANXX:5:505303,NA,NA,NA
F117C1bP002:CA7RRANXX:4:499854,NA,NA,NA
F168C1bP002:CABJYANXX:7:505567,NA,NA,NA
F122C1bP007:CA7RRANXX:4:499890,NA,NA,NA
F64C1bP045:CABJYANXX:2:504966,NA,NA,NA
F41C1bP002:CABV7ANXX:7:504696,NA,NA,NA
F63C1bP007:CABJYANXX:1:504914,NA,NA,NA
F10C1bP010:CABV7ANXX:5:503883,NA,NA,NA
F86C1bP005:CABJYANXX:3:505119,NA,NA,NA
F55C1bP017:CABV7ANXX:8:504750,NA,NA,NA
F75C1bP004:CABJYANXX:3:505064,NA,NA,NA
F68C1bP004:CABJYANXX:2:505016,NA,NA,NA
F27C1bP001:CABV7ANXX:6:504577,NA,NA,NA
F56C1bP018:CABV7ANXX:8:504790,NA,NA,NA
F50C1bP002:CABV7ANXX:7:504725,NA,NA,NA
F10C1bP007:CABV7ANXX:5:503880,NA,NA,NA
F43C1bP001:CABV7ANXX:7:504701,NA,NA,NA
F10C1bP008:CABV7ANXX:5:503881,NA,NA,NA
F64C1bP028:CABJYANXX:2:504949,NA,NA,NA
F58C1bP002:CABJYANXX:1:504839,NA,NA,NA
F58C1bP013:CABJYANXX:1:504850,NA,NA,NA
F63C1bP006:CABJYANXX:1:504913,NA,NA,NA
F55C1bP011:CABV7ANXX:8:504744,NA,NA,NA
F68C1bP003:CABJYANXX:2:505015,NA,NA,NA
F92C1bP007:CABJYANXX:4:505219,NA,NA,NA
F52C1bP001:CABV7ANXX:7:504731,NA,NA,NA
F29C1bP001:CABV7ANXX:6:504597,NA,NA,NA
F86C1bP002:CABJYANXX:3:505116,NA,NA,NA
F62C1bP021:CABJYANXX:1:504905,NA,NA,NA
F11C1bP017:CABV7ANXX:5:503908,NA,NA,NA
F55C1bP012:CABV7ANXX:8:504745,NA,NA,NA
F93C1bP001:CABJYANXX:4:505220,NA,NA,NA
F63C1bP002:CABJYANXX:1:504909,NA,NA,NA
F68C1bP007:CABJYANXX:2:505019,NA,NA,NA
F68C1bP009:CABJYANXX:2:505021,NA,NA,NA
F50C1bP003:CABV7ANXX:7:504726,NA,NA,NA
F77C1bP003:CABJYANXX:3:505087,NA,NA,NA
F62C1bP013:CABJYANXX:1:504897,NA,NA,NA
F81C1bP001:CABJYANXX:3:505098,NA,NA,NA
F62C1bP011:CABJYANXX:1:504895,NA,NA,NA
F6C1bP007:CABV7ANXX:4:503813,NA,NA,NA
F9C1bP002:CABV7ANXX:4:503870,NA,NA,NA
F9C1bP001:CABV7ANXX:4:503869,NA,NA,NA
NR17F5C2aP018,NA,NA,NA
NR17F5C2aP019,NA,NA,NA
NR17F5C2aP025,NA,NA,NA
NR17F5C2aP026,NA,NA,NA
NR17F5C2aP028,NA,NA,NA
NR17F5C2aP021,NA,NA,NA
NR17F5C2aP022,NA,NA,NA
NR17F5C2aP024,NA,NA,NA
NR17F5C2aP029,NA,NA,NA
NR17F71C2aP001,NA,NA,NA
NR17F71C2aP002,NA,NA,NA
NR17F49C2aP006,NA,NA,NA
NR17F9C2aP006,NA,NA,NA
NR17F9C2aP007,NA,NA,NA
NR17F5C2aP003,NA,NA,NA
NR17F5C2aP004,NA,NA,NA
NR17F5C2aP005,NA,NA,NA
NR17F5C2aP001,NA,NA,NA
NR17F5C2aP002,NA,NA,NA
NR17F1C2aP002,NA,NA,NA
NR17F1C2aP003,NA,NA,NA
NR17F1C2aP005,NA,NA,NA
NR17F1C2aP006,NA,NA,NA
NR17F1C2aP007,NA,NA,NA
NR17F5C2aP007,NA,NA,NA
NR17F1C2aP008,NA,NA,NA
NR17F5C2aP008,NA,NA,NA
NR17F5C2aP009,NA,NA,NA
NR17F1C2aP009,NA,NA,NA
NR17F5C2aP014,NA,NA,NA
NR17F5C2aP015,NA,NA,NA
NR17F5C2aP016,NA,NA,NA
NR17F5C2aP017,NA,NA,NA
NR17F1C2aP010,NA,NA,NA
NR17F5C2aP010,NA,NA,NA
NR17F5C2aP011,NA,NA,NA
NR17F1C2aP011,NA,NA,NA
NR17F5C2aP012,NA,NA,NA
NR17F5C2aP013,NA,NA,NA
NR17F15C2aP011,NA,NA,NA
